height,weight,age,isManOfTheMatch,isActive,playedPositions,playedPositionsShort,teamRegionName,regionCode,tournamentShortName,apps,subOn,manOfTheMatch,goal,assistTotal,shotsPerGame,aerialWonPerGame,name,firstName,lastName,playerId,positionText,teamId,teamName,seasonId,seasonName,isOpta,tournamentId,tournamentRegionId,tournamentRegionCode,tournamentRegionName,tournamentName,rating,minsPlayed,yellowCard,redCard,passSuccess,ranking
187,83,36,False,True,-FW-ML-,"M(L),FW",Portugal,pt,WC,3,0,0,1,0,6.666666666666667,1.3333333333333333,Cristiano Ronaldo,Cristiano Ronaldo,dos Santos Aveiro,5583,Forward,340,Portugal,8433,2021/2022,True,36,247,cint,International,FIFA World Cup,7.13,270,1.0,0.0,81.81818181818183,1
187,83,36,False,True,-FW-ML-,"M(L),FW",Italy,pt,ISA,32,2,8,28,3,5.1875,0.71875,Cristiano Ronaldo,Cristiano Ronaldo,dos Santos Aveiro,5583,Forward,87,Juventus,8330,2020/2021,True,5,108,it,Italy,Serie A,7.628125,2733,3.0,0.0,81.84647302904564,2
187,83,36,False,True,-FW-ML-,"M(L),FW",Italy,pt,UCL,6,0,0,4,2,3.8333333333333335,0.6666666666666666,Cristiano Ronaldo,Cristiano Ronaldo,dos Santos Aveiro,5583,Forward,87,Juventus,8177,2020/2021,True,12,250,ceu,Europe,Champions League,7.738333333333332,570,0.0,0.0,81.42857142857143,3
187,83,36,False,True,-FW-ML-,"M(L),FW",Portugal,pt,UNL,4,0,1,2,0,4.5,1.5,Cristiano Ronaldo,Cristiano Ronaldo,dos Santos Aveiro,5583,Forward,340,Portugal,8154,2020/2021,True,683,247,cint,International,UEFA Nations League A,7.115,351,1.0,0.0,90.71428571428571,4
187,83,36,False,True,-FW-ML-,"M(L),FW",Italy,pt,ISA,33,0,10,31,5,6.303030303030303,1.1818181818181819,Cristiano Ronaldo,Cristiano Ronaldo,dos Santos Aveiro,5583,Forward,87,Juventus,7928,2019/2020,True,5,108,it,Italy,Serie A,7.817575757575758,2919,3.0,0.0,85.1328903654485,5
187,83,36,False,True,-FW-ML-,"M(L),FW",Italy,pt,UCL,8,0,2,4,0,5.0,1.0,Cristiano Ronaldo,Cristiano Ronaldo,dos Santos Aveiro,5583,Forward,87,Juventus,7804,2019/2020,True,12,250,ceu,Europe,Champions League,7.257499999999999,712,0.0,0.0,82.62411347517731,6
187,83,36,False,True,-FW-ML-,"M(L),FW",Italy,pt,ISA,31,1,10,21,8,5.709677419354839,1.064516129032258,Cristiano Ronaldo,Cristiano Ronaldo,dos Santos Aveiro,5583,Forward,87,Juventus,7468,2018/2019,True,5,108,it,Italy,Serie A,7.67741935483871,2689,3.0,0.0,85.06304558680893,7
187,83,36,False,True,-FW-ML-,"M(L),FW",Italy,pt,UCL,9,0,2,6,2,5.333333333333333,2.0,Cristiano Ronaldo,Cristiano Ronaldo,dos Santos Aveiro,5583,Forward,87,Juventus,7352,2018/2019,True,12,250,ceu,Europe,Champions League,7.4833333333333325,749,1.0,1.0,84.58646616541353,8
187,83,36,False,True,-FW-ML-,"M(L),FW",Portugal,pt,UNL,2,0,1,3,0,4.0,1.0,Cristiano Ronaldo,Cristiano Ronaldo,dos Santos Aveiro,5583,Forward,340,Portugal,7213,2018/2019,True,683,247,cint,International,UEFA Nations League A,8.4,180,0.0,0.0,84.50704225352112,9
187,83,36,False,False,-FW-ML-,"M(L),FW",Spain,pt,SLL,27,0,7,26,5,6.592592592592593,1.2592592592592593,Cristiano Ronaldo,Cristiano Ronaldo,dos Santos Aveiro,5583,Forward,52,Real Madrid,6960,2017/2018,True,4,206,es,Spain,LaLiga,7.936666666666668,2293,1.0,0.0,81.55737704918032,10
